state,year,offense,count
NE,2008,homicide,11
NE,2008,larceny,9620
NE,2008,motor-vehicle-theft,628
NE,2008,property-crime,12331
NE,2008,rape,263
NE,2008,robbery,62
NE,2008,violent-crime,690
NE,2009,aggravated-assault,342
NE,2009,arson,78
NE,2009,burglary,2023
NE,2009,homicide,1
NE,2009,larceny,9648
NE,2009,motor-vehicle-theft,616
NE,2009,property-crime,12365
NE,2009,rape,236
NE,2009,robbery,63
NE,2009,violent-crime,642
NE,2010,aggravated-assault,345
NE,2010,arson,83
NE,2010,burglary,1895
NE,2010,homicide,9
NE,2010,larceny,9588
NE,2010,motor-vehicle-theft,620
NE,2010,property-crime,12186
NE,2010,rape,283
NE,2010,robbery,68
NE,2010,violent-crime,705
NE,2011,aggravated-assault,303
NE,2011,arson,68
NE,2011,burglary,2048
NE,2011,homicide,10
NE,2011,larceny,9813
NE,2011,motor-vehicle-theft,613
NE,2011,property-crime,12542
NE,2011,rape,259
NE,2011,robbery,60
NE,2011,violent-crime,632
NE,2012,aggravated-assault,299
NE,2012,arson,67
NE,2012,burglary,2074
NE,2012,homicide,3
NE,2012,larceny,10425
NE,2012,motor-vehicle-theft,682
NE,2012,property-crime,13248
NE,2012,rape,299
NE,2012,robbery,64
NE,2012,violent-crime,665
NE,2013,aggravated-assault,333
NE,2013,arson,58
NE,2013,burglary,2136
NE,2013,homicide,4
NE,2013,larceny,9660
NE,2013,motor-vehicle-theft,622
NE,2013,property-crime,12476
NE,2013,rape,248
NE,2013,robbery,73
NE,2013,violent-crime,658
NE,2014,aggravated-assault,546
NE,2014,arson,44
NE,2014,burglary,1926
NE,2014,homicide,8
NE,2014,larceny,9274
NE,2014,motor-vehicle-theft,642
NE,2014,property-crime,11886
NE,2014,rape,275
NE,2014,robbery,82
NE,2014,violent-crime,911
NE,2015,aggravated-assault,575
NE,2015,arson,66
NE,2015,burglary,1897
NE,2015,homicide,6
NE,2015,larceny,9419
NE,2015,motor-vehicle-theft,740
NE,2015,property-crime,12122
NE,2015,rape,307
NE,2015,robbery,91
NE,2015,violent-crime,979
NE,2016,aggravated-assault,697
NE,2016,arson,62
NE,2016,burglary,1930
NE,2016,homicide,4
NE,2016,larceny,9990
NE,2016,motor-vehicle-theft,913
NE,2016,property-crime,12895
NE,2016,rape,326
NE,2016,robbery,102
NE,2016,violent-crime,1129
NE,2017,aggravated-assault,788
NE,2017,arson,81
NE,2017,burglary,2327
NE,2017,homicide,11
NE,2017,larceny,11324
NE,2017,motor-vehicle-theft,1132
NE,2017,property-crime,14864
NE,2017,rape,439
NE,2017,robbery,118
NE,2017,violent-crime,1356
NE,2018,aggravated-assault,801
NE,2018,arson,60
NE,2018,burglary,1929
NE,2018,homicide,11
NE,2018,larceny,10640
NE,2018,motor-vehicle-theft,1194
NE,2018,property-crime,13823
NE,2018,rape,474
NE,2018,robbery,114
NE,2018,violent-crime,1400
NH,2002,aggravated-assault,31
NH,2002,arson,12
NH,2002,burglary,298
NH,2002,larceny,1644
NH,2002,motor-vehicle-theft,77
NH,2002,property-crime,2031
NH,2002,rape,38
NH,2002,robbery,20
NH,2002,violent-crime,89
NH,2003,aggravated-assault,463
NH,2003,arson,206
NH,2003,burglary,2432
NH,2003,homicide,6
NH,2003,larceny,11629
NH,2003,motor-vehicle-theft,905
NH,2003,property-crime,15172
NH,2003,rape,367
NH,2003,robbery,151
NH,2003,violent-crime,987
NH,2004,aggravated-assault,637
NH,2004,arson,190
NH,2004,burglary,2910
NH,2004,homicide,9
NH,2004,larceny,12300
NH,2004,motor-vehicle-theft,994
NH,2004,property-crime,16394
NH,2004,rape,430
NH,2004,robbery,158
NH,2004,violent-crime,1234
NH,2005,aggravated-assault,675
NH,2005,arson,257
NH,2005,burglary,2985
NH,2005,homicide,14
NH,2005,larceny,14130
NH,2005,motor-vehicle-theft,955
NH,2005,property-crime,18327
NH,2005,rape,436
NH,2005,robbery,200
NH,2005,violent-crime,1325
NH,2006,aggravated-assault,716
NH,2006,arson,258
NH,2006,burglary,3123
NH,2006,homicide,7
NH,2006,larceny,15636
NH,2006,motor-vehicle-theft,1021
NH,2006,property-crime,20038
NH,2006,rape,425
NH,2006,robbery,241
NH,2006,violent-crime,1389
NH,2007,aggravated-assault,762
NH,2007,arson,245
NH,2007,burglary,3578
NH,2007,homicide,5
NH,2007,larceny,15539
NH,2007,motor-vehicle-theft,976
NH,2007,property-crime,20338
NH,2007,rape,390
NH,2007,robbery,236
NH,2007,violent-crime,1393
NH,2008,aggravated-assault,990
NH,2008,arson,294
NH,2008,burglary,3839
NH,2008,homicide,12
NH,2008,larceny,20601
NH,2008,motor-vehicle-theft,1246
NH,2008,property-crime,25980
NH,2008,rape,469
NH,2008,robbery,401
NH,2008,violent-crime,1872
NH,2009,aggravated-assault,1045
NH,2009,arson,247
NH,2009,burglary,4506
NH,2009,homicide,11
NH,2009,larceny,21281
NH,2009,motor-vehicle-theft,1003
NH,2009,property-crime,27037
NH,2009,rape,485
NH,2009,robbery,432
NH,2009,violent-crime,1973
NH,2010,aggravated-assault,1130
NH,2010,arson,317
NH,2010,burglary,5118
NH,2010,homicide,13
NH,2010,larceny,21896
NH,2010,motor-vehicle-theft,936
NH,2010,property-crime,28267
NH,2010,rape,522
NH,2010,robbery,440
NH,2010,violent-crime,2105
NH,2011,aggravated-assault,1361
NH,2011,arson,269
NH,2011,burglary,5481
NH,2011,homicide,16
NH,2011,larceny,22571
NH,2011,motor-vehicle-theft,946
NH,2011,property-crime,29267
NH,2011,rape,543
NH,2011,robbery,465
NH,2011,violent-crime,2385
NH,2012,aggravated-assault,1300
NH,2012,arson,316
NH,2012,burglary,5030
NH,2012,homicide,13
NH,2012,larceny,22893
NH,2012,motor-vehicle-theft,926
NH,2012,property-crime,29165
NH,2012,rape,596
NH,2012,robbery,463
NH,2012,violent-crime,2372
NH,2013,aggravated-assault,1276
NH,2013,arson,227
NH,2013,burglary,4526
NH,2013,homicide,19
NH,2013,larceny,21848
NH,2013,motor-vehicle-theft,855
NH,2013,property-crime,27456
NH,2013,rape,610
NH,2013,robbery,635
NH,2013,violent-crime,2540
NH,2014,aggravated-assault,1300
NH,2014,arson,186
NH,2014,burglary,4053
NH,2014,homicide,14
NH,2014,larceny,20361
NH,2014,motor-vehicle-theft,829
NH,2014,property-crime,25429
NH,2014,rape,552
NH,2014,robbery,533
NH,2014,violent-crime,2399
NH,2015,aggravated-assault,1385
NH,2015,arson,140
NH,2015,burglary,3406
NH,2015,homicide,14
NH,2015,larceny,18640
NH,2015,motor-vehicle-theft,872
NH,2015,property-crime,23058
NH,2015,rape,626
NH,2015,robbery,475
NH,2015,violent-crime,2500
NH,2016,aggravated-assault,1423
NH,2016,arson,176
NH,2016,burglary,2906
NH,2016,homicide,18
NH,2016,larceny,16123
NH,2016,motor-vehicle-theft,850
NH,2016,property-crime,20055
NH,2016,rape,587
NH,2016,robbery,432
NH,2016,violent-crime,2460
NH,2017,aggravated-assault,1368
NH,2017,arson,128
NH,2017,burglary,2536
NH,2017,homicide,12
NH,2017,larceny,14781
NH,2017,motor-vehicle-theft,905
NH,2017,property-crime,18350
NH,2017,rape,601
NH,2017,robbery,414
NH,2017,violent-crime,2395
NH,2018,aggravated-assault,1291
NH,2018,arson,118
NH,2018,burglary,1840
NH,2018,homicide,19
NH,2018,larceny,14041
NH,2018,motor-vehicle-theft,877
