index,state,year,offense,count
4928,KY,2016,motor-vehicle-theft,10125
13664,KY,2016,property-crime,100986
7798,KY,2016,rape,1869
9264,KY,2016,robbery,3410
12174,KY,2016,violent-crime,9871
499,KY,2017,aggravated-assault,4443
10697,KY,2017,arson,331
1971,KY,2017,burglary,19944
6351,KY,2017,homicide,247
3453,KY,2017,larceny,68102
4929,KY,2017,motor-vehicle-theft,10558
13665,KY,2017,property-crime,98935
7799,KY,2017,rape,1969
9265,KY,2017,robbery,3004
12175,KY,2017,violent-crime,9663
500,KY,2018,aggravated-assault,4186
10698,KY,2018,arson,320
1972,KY,2018,burglary,16982
6352,KY,2018,homicide,223
3454,KY,2018,larceny,63460
4930,KY,2018,motor-vehicle-theft,10480
13666,KY,2018,property-crime,91242
7800,KY,2018,rape,1927
9266,KY,2018,robbery,2476
12176,KY,2018,violent-crime,8812
522,LA,2003,aggravated-assault,421
10720,LA,2003,arson,16
1994,LA,2003,burglary,1127
6374,LA,2003,homicide,16
3476,LA,2003,larceny,3697
4952,LA,2003,motor-vehicle-theft,394
13688,LA,2003,property-crime,5234
7822,LA,2003,rape,55
9288,LA,2003,robbery,68
12198,LA,2003,violent-crime,560
523,LA,2004,aggravated-assault,1638
10721,LA,2004,arson,41
1995,LA,2004,burglary,2099
6375,LA,2004,homicide,20
3477,LA,2004,larceny,7788
4953,LA,2004,motor-vehicle-theft,932
13689,LA,2004,property-crime,10860
7823,LA,2004,rape,141
9289,LA,2004,robbery,138
12199,LA,2004,violent-crime,1937
524,LA,2005,aggravated-assault,2169
10722,LA,2005,arson,51
1996,LA,2005,burglary,2450
6376,LA,2005,homicide,16
3478,LA,2005,larceny,8964
4954,LA,2005,motor-vehicle-theft,994
13690,LA,2005,property-crime,12459
7824,LA,2005,rape,126
9290,LA,2005,robbery,196
12200,LA,2005,violent-crime,2507
525,LA,2006,aggravated-assault,2030
10723,LA,2006,arson,79
1997,LA,2006,burglary,2363
6377,LA,2006,homicide,30
3479,LA,2006,larceny,8620
4955,LA,2006,motor-vehicle-theft,1004
13691,LA,2006,property-crime,12066
7825,LA,2006,rape,158
9291,LA,2006,robbery,186
